,ID,CAP,Età,Data_evento_1,Feat_A_1,Feat_A_2,Feat_A_3,Feat_A_4,Feat_A_5,Feat_A_6,Data_evento_2,Feat_B_1,Feat_B_2,Feat_B_3,Feat_B_4,Feat_B_5,Feat_B_6,Target_1,Feat_C_1,Feat_C_2,Feat_C_3,Feat_C_4,Feat_C_6,Feat_C_5,Target_2
1387,1387,,,13377916800.0,,,,,,,,,,,,,,,16.0,14.3,30.3,10.624999999999996,0.0,0.0,0.0
1388,1388,,,13475289600.0,,,,,,,,,,,,,,,11.1,9.2,20.299999999999997,17.117117117117118,4.0,0.0,0.0
1389,1389,,,13339209600.0,,,,,,,,,,,,,,,11.0,10.0,21.0,9.090909090909092,1.0,1.0,0.0
1390,1390,00155,23.0,13475030400.0,2.95,2.91,6.51,651.0,22.5897,7.762783505154639,13475030400.0,2.8,7.2,70.0,196.0,0.8,27.44,0.0,13.9,14.2,28.1,2.112676056338021,1.5,1.0,0.0
1391,1391,,,13466563200.0,,,,,,,,,,,,,,,21.6,20.8,42.400000000000006,3.703703703703707,2.0,0.0,0.0
1392,1392,,,13557628800.0,,,,,,,,,,,,,,,18.8,19.2,38.0,2.083333333333326,3.0,0.0,0.0
1393,1393,,,13473216000.0,,,,,,,,,,,,,,,28.1,24.1,52.2,14.234875444839856,0.0,0.0,0.0
1394,1394,,,13467168000.0,,,,,,,,,,,,,,,13.0,12.2,25.2,6.153846153846159,0.0,0.0,0.0
1395,1395,00173,20.0,13586918400.0,10.81,4.72,5.14,514.0,17.8358,3.778771186440678,13569897600.0,2.0,7.3,0.7,1.4,0.9,0.0,0.0,7.4,7.8,15.2,5.1282051282051215,3.0,0.0,0.0
1396,1396,00154,,13543804800.0,4.49,2.67,5.17,517.0,17.9399,6.719063670411986,13543804800.0,2.8,7.3,90.0,251.99999999999997,0.4,36.035999999999994,0.0,23.1,23.6,46.7,2.11864406779661,3.0,0.0,0.0
1397,1397,00012,32.0,13478572800.0,2.67,2.84,3.95,395.0,13.706500000000002,4.826232394366198,13478572800.0,,,,,,,,13.2,12.8,26.0,3.0303030303030196,2.0,0.0,0.0
1398,1398,00171,22.0,13590547200.0,1.38,4.05,10.44,1044.0,36.2268,8.944888888888888,13590547200.0,3.0,7.6,120.0,360.0,0.4,28.08,0.0,21.8,19.3,41.1,11.46788990825688,3.0,0.0,0.0
1399,1399,00019,20.0,13476499200.0,2.44,1.64,6.27,627.0,21.756899999999998,13.26640243902439,13476499200.0,3.0,7.3,5.0,15.0,0.4,0.45,0.0,17.9,17.6,35.5,1.6759776536312692,1.5,0.0,0.0
